RESPONDENTID,Main_P6a_Thich_Total_OE_1,Main_P6a_Thich_Total_OE_2,Main_P6a_Thich_Total_OE_3,Main_P6a_Thich_Total_OE_4,Main_P6a_Thich_Total_OE_5,Main_P6a_Thich_Total_OE_6,Main_P6a_Thich_Total_OE_7,Main_P6a_Thich_Y1_OE_1,Main_P6a_Thich_Y1_OE_2,Main_P6a_Thich_Y1_OE_3,Main_P6a_Thich_Y1_OE_4,Main_P6a_Thich_Y1_OE_5,Main_P6a_Thich_Y1_OE_6,Main_P6a_Thich_Y1_OE_7,Main_P6a_Thich_Y2_OE_1,Main_P6a_Thich_Y2_OE_2,Main_P6a_Thich_Y2_OE_3,Main_P6a_Thich_Y2_OE_4,Main_P6a_Thich_Y2_OE_5,Main_P6a_Thich_Y2_OE_6,Main_P6a_Thich_Y2_OE_7,Main_P6b_Khong_Thich_Total_OE_1,Main_P6b_Khong_Thich_Total_OE_2,Main_P6b_Khong_Thich_Total_OE_3,Main_P6b_Khong_Thich_Y1_OE_1,Main_P6b_Khong_Thich_Y1_OE_2,Main_P6b_Khong_Thich_Y1_OE_3,Main_P6b_Khong_Thich_Y2_OE_1,Main_P6b_Khong_Thich_Y2_OE_2,Main_P6b_Khong_Thich_Y2_OE_3,Main_P10a_Thich_Nuoc_dung_OE_1,Main_P10a_Thich_Nuoc_dung_OE_2,Main_P10a_Thich_Nuoc_dung_OE_3,Main_P10a_Thich_Nuoc_dung_OE_4,Main_P10a_Thich_Nuoc_dung_OE_5,Main_P10a_Thich_Nuoc_dung_OE_6,Main_P10a_Thich_Nuoc_dung_OE_7,Main_P10b_Khong_Thich_Nuoc_dung_OE_1,Main_P10b_Khong_Thich_Nuoc_dung_OE_2,Main_P10b_Khong_Thich_Nuoc_dung_OE_3,Main_P10b_Khong_Thich_Nuoc_dung_OE_4,Main_P100a_Total_OE_1,Main_P100a_Total_OE_2,Main_P100a_Total_OE_3,Main_P100a_Total_OE_4,Main_P100a_Total_OE_5,Main_P100a_Total_OE_6,Main_P100a_Total_OE_7,Main_P100a_Y1_OE_1,Main_P100a_Y1_OE_2,Main_P100a_Y1_OE_3,Main_P100a_Y1_OE_4,Main_P100a_Y1_OE_5,Main_P100a_Y1_OE_6,Main_P100a_Y1_OE_7,Main_P100a_Y2_OE_1,Main_P100a_Y2_OE_2,Main_P100a_Y2_OE_3,Main_P100a_Y2_OE_4,Main_P100a_Y2_OE_5,Main_P100a_Y2_OE_6,Main_P100a_Y2_OE_7
2001_732,201,105,301,401,,,,201,105,,,,,,301,401,,,,,,902,,,902,,,99999,,,302,,,,,,,305,,,,705,607,,,,,,705,,,,,,,607,,,,,,
2001_927,201,105,301,402,,,,201,105,,,,,,301,402,,,,,,902,,,902,,,99999,,,203,,,,,,,205,201,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2002_732,201,901,105,301,,,,201,901,105,,,,,301,,,,,,,401,,,401,,,99999,,,302,304,303,206,,,,99999,,,,705,602,603,607,,,,705,602,603,607,,,,99999,,,,,,
2002_927,201,301,901,102,,,,201,,,,,,,301,901,102,,,,,401,,,401,,,99999,,,102,201,,,,,,302,306,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2003_732,201,301,103,,,,,201,,,,,,,301,103,,,,,,99999,,,99999,,,99999,,,302,304,303,351,,,,99999,,,,720,802,607,,,,,720,802,,,,,,607,,,,,,
2003_927,201,302,103,301,,,,201,302,103,,,,,301,,,,,,,99999,,,99999,,,99999,,,303,351,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2004_732,301,201,,,,,,301,,,,,,,201,,,,,,,99999,,,99999,,,99999,,,303,207,,,,,,302,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2004_927,105,201,,,,,,105,,,,,,,201,,,,,,,99999,,,99999,,,99999,,,302,303,205,,,,,99999,,,,712,705,,,,,,712,,,,,,,705,,,,,,
2005_732,103,201,301,901,,,,103,,,,,,,201,301,901,,,,,301,401,,301,,,401,,,202,206,,,,,,308,303,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2005_927,201,103,301,902,907,,,201,103,,,,,,301,902,907,,,,,401,,,401,,,99999,,,302,304,303,,,,,208,905,,,701,714,201,906,,,,701,714,,,,,,201,906,,,,,
2006_732,105,401,,,,,,105,401,,,,,,99999,,,,,,,202,,,202,,,99999,,,302,102,303,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2006_927,201,301,401,,,,,201,,,,,,,301,401,,,,,,102,,,102,,,99999,,,305,304,205,,,,,99999,,,,201,712,,,,,,201,,,,,,,712,,,,,,
2007_732,301,201,401,102,,,,301,,,,,,,201,401,102,,,,,99999,,,99999,,,99999,,,302,303,102,,,,,99999,,,,702,705,301,501,,,,702,705,,,,,,301,501,,,,,
2007_927,201,301,401,102,,,,201,,,,,,,301,401,102,,,,,99999,,,99999,,,99999,,,102,201,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2008_732,103,301,,,,,,103,,,,,,,301,,,,,,,202,,,202,,,99999,,,901,,,,,,,302,303,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2008_927,201,902,301,402,103,,,201,902,,,,,,301,402,103,,,,,902,,,902,,,99999,,,303,304,901,,,,,302,,,,801,201,,,,,,801,,,,,,,201,,,,,,
2009_732,201,301,401,101,902,,,201,,,,,,,301,401,101,902,,,,99999,,,99999,,,99999,,,102,303,304,305,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2009_927,201,901,301,401,102,,,201,901,,,,,,301,401,102,,,,,99999,,,99999,,,99999,,,201,205,304,,,,,99999,,,,714,605,,,,,,714,605,,,,,,99999,,,,,,
2010_732,201,301,401,103,,,,201,301,,,,,,401,103,,,,,,99999,,,99999,,,99999,,,302,303,305,901,,,,99999,,,,711,906,503,,,,,711,,,,,,,906,503,,,,,
2010_927,201,301,401,901,102,,,201,,,,,,,301,401,901,102,,,,99999,,,99999,,,99999,,,102,304,305,901,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2011_732,201,301,,,,,,201,,,,,,,301,,,,,,,99999,,,99999,,,99999,,,302,305,,,,,,303,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2011_927,301,201,,,,,,301,,,,,,,201,,,,,,,99999,,,99999,,,99999,,,302,305,,,,,,99999,,,,301,712,,,,,,301,,,,,,,712,,,,,,
2012_732,201,105,302,401,901,,,201,105,,,,,,302,401,901,,,,,99999,,,99999,,,99999,,,302,206,202,303,304,,,901,310,301,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2012_927,201,901,302,401,105,,,201,901,,,,,,302,401,105,,,,,99999,,,99999,,,99999,,,302,304,205,204,303,907,,99999,,,,706,701,202,904,,,,706,701,,,,,,202,904,,,,,
2013_732,104,909,201,301,401,103,,104,909,,,,,,201,301,401,103,,,,99999,,,99999,,,99999,,,305,209,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2013_927,902,201,301,401,103,,,902,,,,,,,201,301,401,103,,,,99999,,,99999,,,99999,,,302,304,305,205,309,,,99999,,,,707,712,905,,,,,707,712,,,,,,905,707,,,,,
2014_732,201,105,301,401,,,,201,105,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,303,202,206,,,,99999,,,,602,603,711,,,,,602,603,711,,,,,99999,,,,,,
