group_lbl,name,lbl,type,t2b,b2b,mean,ma_cats,hidden_cats,is_count,is_corr,is_ua
PRODUCT,Main_P1_OL_Chung,P1. Mức độ YÊU THÍCH NÓI CHUNG,OL,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE
PRODUCT,Main_P2_OL_Ngoai_quan,P2. Mức độ YÊU THÍCH về NGOẠI QUAN,OL,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE
PRODUCT,Main_P3_OL_Soi_mi,P3. Mức độ YÊU THÍCH NÓI CHUNG về SỢI MÌ,OL,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE
PRODUCT,Main_P4_OL_Mau_soi_mi,P4. Mức độ YÊU THÍCH về MÀU SỢI MÌ,OL,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE
PRODUCT,Main_P5_OL_Cam_giac_nhai,P5. Mức độ YÊU THÍCH về CẢM GIÁC KHI NHAI SỢI MÌ,OL,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE
PRODUCT,Main_P7_OL_Nuoc_dung,P7. Mức độ YÊU THÍCH NÓI CHUNG về NƯỚC DÙNG,OL,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE
PRODUCT,Main_P8_OL_Mui_nuoc_dung,P8. Mức độ YÊU THÍCH về MÙI NƯỚC DÙNG,OL,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE
PRODUCT,Main_P9_OL_Vi,P9. Mức độ YÊU THÍCH về VỊ,OL,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE
PRODUCT,Main_P11_PI_Y_dinh_mua,P11. Ý ĐỊNH MUA KHÔNG GIÁ,OL,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE
PRODUCT,Main_P12_Intensity_Matching,P12. Mức độ PHÙ HỢP của SẢN PHẨM,OL,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE
FC,Main_Recall_P100_thich_hon,P100. Sản phẩm thích hơn (Count),FC,FALSE,FALSE,FALSE,,0,TRUE,FALSE,FALSE
FC,Main_Recall_P100_thich_hon,P100. Sản phẩm thích hơn (%),FC,FALSE,FALSE,FALSE,,0,FALSE,FALSE,FALSE
OE,Main_P6a_Thich_Y1_OE,P6a. Lí do thích - Y1,MA,FALSE,FALSE,FALSE,1,,FALSE,FALSE,FALSE
OE,Main_P6a_Thich_Y2_OE,P6a. Lí do thích - Y2,MA,FALSE,FALSE,FALSE,1,,FALSE,FALSE,FALSE
OE,Main_P6a_Thich_Total_OE,P6a. Lí do thích - TT,MA,FALSE,FALSE,FALSE,1,,FALSE,FALSE,FALSE
OE,Main_P6b_Khong_Thich_Y1_OE,P6b. Lí do không thích - Y1,MA,FALSE,FALSE,FALSE,1,,FALSE,FALSE,FALSE
OE,Main_P6b_Khong_Thich_Y2_OE,P6b. Lí do không thích - Y2,MA,FALSE,FALSE,FALSE,1,,FALSE,FALSE,FALSE
OE,Main_P6b_Khong_Thich_Total_OE,P6b. Lí do không thích - TT,MA,FALSE,FALSE,FALSE,1,,FALSE,FALSE,FALSE
OE,Main_P10a_Thich_Nuoc_dung_OE,P10a. Lí do thích nước dùng,MA,FALSE,FALSE,FALSE,1,,FALSE,FALSE,FALSE
OE,Main_P10b_Khong_Thich_Nuoc_dung_OE,P10b. Lí do không thích nước dùng,MA,FALSE,FALSE,FALSE,1,,FALSE,FALSE,FALSE
OE,Main_P100a_Y1_OE,P100a. Lí do thích hơn - Y1,MA,FALSE,FALSE,FALSE,1,,FALSE,FALSE,FALSE
OE,Main_P100a_Y2_OE,P100a. Lí do thích hơn - Y2,MA,FALSE,FALSE,FALSE,1,,FALSE,FALSE,FALSE
